names	A_loading	corrs	color
C.3.MT1X	1	0.511760358509796	Red
C.6.MT1X	1	0.572300520069678	Red
C.7.IFI27	0.0461239198490397	0.481272507364531	Red
C.8.MT1X	0.0398443741312514	0.466464122522546	Red
C.4.MT1X	0.0375115711893198	0.101045449510019	Red
C.5.MT1X	0.031686179796811	-0.035714339913024	Blue
C.5.CCL2	0.0308489810864453	-0.40113301292555	Blue
C.14.CEBPD	0.0281876056792832	0.114789939573096	Red
C.7.ATP1B3	0.0259776501322123	-0.0239547401855649	Blue
C.1.DDX5	0.0254619018265846	-0.222996854091077	Blue
C.3.IFI27	0.0138887435443528	0.658973125468358	Red
C.10.KLF6	0.0187110021088873	0.632405140898913	Red
C.5.IGFBP5	0.0104417578148152	-0.597126341716536	Blue
C.11.IFITM3	0.012989334478651	0.547039157692173	Red
C.16.SAT1	0.00942734290079286	0.541812668924413	Red
C.0.S100A2	0.0208753294602755	0.523955498967901	Red
C.14.GADD45B	0.0207861643523653	0.50087184024363	Red
C.14.FOS	0.0159615274415856	0.496080892206517	Red
