names	A_loading	corrs	color
C.13.JUNB	1	-0.180313862487707	Blue
C.13.JUN	1	-0.299216481954238	Blue
C.13.FOS	0.0273446985128359	-0.0753485464018678	Blue
C.16.MGP	0.0232651289733066	0.13980857453757	Red
C.15.ADIRF	0.0230575465146893	-0.137494556965318	Blue
C.16.MYC	0.0222518729572623	0.31315378533493	Red
C.3.MRPS6	0.0207979096677759	0.446864789643447	Red
C.2.DNAJB1	0.020576369403883	0.00391986657581971	Red
C.5.CXCL14	0.0196590792186271	0.0335366362597909	Red
C.13.XIST	0.0175220024629985	-0.0769472128215829	Blue
C.3.IFI27	0.00155322724167404	0.658973125468358	Red
C.10.KLF6	0.0140553463323836	0.632405140898913	Red
C.5.IGFBP5	0.000267324680837787	-0.597126341716536	Blue
C.11.IFITM3	0.00404161352677651	0.547039157692173	Red
C.16.SAT1	0.00232657615511998	0.541812668924413	Red
C.0.S100A2	0.003515909068451	0.523955498967901	Red
C.14.GADD45B	0.00450897140412369	0.50087184024363	Red
C.14.FOS	0.0012896649441543	0.496080892206517	Red
C.0.IFI27	0.00401253715859372	0.489547781246817	Red
C.7.IFI27	0.00350069856452922	0.481272507364531	Red
