"","Z1","Z2","Z3","Z4","Z5","Z6","Z7","Z8","Z9","Z10","Z11","Z12","Z13","Z14","Z15","Z16","Z17"
"SC126",0.956484981199249,0.895821090408686,0.0964782837103904,0.681321380021216,1.00150842163537,0.457935540517519,1.31907852513701,0.27296252091259,0.399327504217156,0.75879545555894,-0.843364555984066,0.538280110733457,0.940097596812277,1.26102722115268,1.51038983937846,0.591769736496465,0.0321271724764592
"SC198",1.16323334048232,-0.86078623316454,1.16170225410546,0.76208277921876,0.931067510438004,0.146116559334769,0.123405744994233,0.626846893444116,-0.197056460752925,-0.426301451966605,0.640616806532545,0.436382173142604,0.79519807356532,1.25864538637368,1.94886175096499,0.818283345244862,0.363342393465011
"SC246",1.18262005809271,0.109201210718002,1.12868053512971,0.460681710709641,1.18714709300477,0.591116749779744,1.6286958842627,0.694692037394659,-0.539710393008798,1.12313048562573,-0.52135605986659,-0.0813742202207166,0.608660013977489,1.66995884282403,-0.417101332009454,0.512014294992221,0.217028138066541
"SC259",1.0124311261745,0.351284153633598,-0.743838831561993,1.04335949113408,0.203320632054165,0.47074963413002,0.750187930313051,0.778571701972932,0.276513338100824,-0.00663987034499979,1.02144537632876,-0.587612540047222,0.861567495255016,-0.0161653142625653,-0.682349025985084,-1.00537335744302,0.210479623870012
"SC144",-0.132296578944832,0.532881063966772,-0.15251638326858,1.09282864856384,0.850430747536898,0.217776759594243,-0.191738234151175,-0.46072847821079,-0.045922171393147,-0.592304256210905,-1.09134945437157,-0.166575236827952,0.687711362139019,1.23366976820591,-0.107135806089872,0.436367304184384,-0.0309615986999461
"SC300",0.809599415387693,-0.959935147651064,-0.596292618606129,0.9059464460117,0.433578545770823,0.636939723880781,-0.646427600321859,0.575717317545453,-0.509288121649928,-0.525790744458444,1.0413340184616,0.0424555826557803,0.772973461965029,1.56793200307166,-0.608070288128645,-1.01013863321942,0.13958430424116
"SC260",-1.36577763560109,0.253688737378623,0.829930110975204,0.409910164995083,0.688398557034648,0.704986502328242,-0.446041196138299,-0.876573977483932,-0.279351827837432,-0.735154883505349,-0.0191419396783288,-0.577776873279475,-0.0348661306438411,-0.729894849596195,0.399684070000994,0.780642520243271,-0.016809005185045
"SC222",1.44080399144148,-0.0796044491649741,0.117212403888122,0.571683047749243,0.0529982346270481,-1.30950439795344,0.0446407102780688,-0.477021606997526,0.0789328388878762,-0.626004635022799,1.0477761766905,0.0609518459320273,-1.34018747857126,-0.589484794483486,-0.421638776413259,0.185256317772482,0.215462807071983
"SC266",0.100672664383083,1.00181472725209,0.925277051636528,-0.236465160389575,-0.750413300169113,0.548078544762854,-0.0845099141611542,-1.14657652507576,-0.129558317692728,0.721209435640708,0.706153698837912,-0.387128105548063,-1.5488410584609,-0.724968853379245,0.111532217352053,0.225054912471152,0.223807927305785
"SC267",-0.275493586459283,-1.20739241519136,1.142973324469,1.00431734638052,-0.210280706792003,1.43005090058878,0.712531413944374,1.13184843821906,-0.562535793736934,1.33365072385493,0.256564273119788,-0.285894944301033,1.32242083896682,0.585093038039665,-0.825418824754701,-1.01327402259423,0.334514982220154
"SC272",-0.651239769690216,-1.36150558902591,0.923147464616556,0.908250331472578,-0.0816232787117708,-0.458838141188511,0.919376145838119,1.46725646343995,-0.801007023561554,0.885287712228236,0.0472609135060788,0.373837448646488,0.0800912956110075,-0.56472390977745,-0.465766427558999,0.425945364471739,0.415111213248563
"SC275",0.743413065190698,-0.465257043747868,0.785721903736831,-1.84591665138959,-1.4681928996466,0.276300615670792,-0.856687405385756,0.283370252434545,0.347002316005048,-1.13568133636543,1.00655670888598,-0.170167541429641,-0.287437661418942,-0.665523506973971,-0.806391448543249,-1.00715673195811,0.109050788690735
"HJ809",-1.3710697386323,0.822985599467047,1.35676719136418,0.294030426318677,0.472794906398144,0.48093677901698,0.483423073197984,-0.353874155496518,-1.0164025367758,-0.607609309476669,-1.3793197106686,-0.0101647784486219,0.415987182640953,0.751452242036992,-0.31132774735359,0.764377125598733,0.197732489429996
"HJ867",-0.197288206291461,1.21694633490456,0.0908853251252178,-0.183307043125597,0.330613562784984,-0.263364172819882,-0.101012775619667,-1.20509283683367,1.1544681756127,-0.141816758714438,-0.542529036446639,-0.0950405880532107,-1.44825936015123,-0.798081304051292,-0.70336903509318,-1.00792249353954,-0.193950427017689
"SC32",0.251612102804293,1.06251866353291,-0.221931422649833,-0.772483779415495,0.081756986336489,0.193150604198161,-0.592052908365975,0.199600282797692,0.930533724744985,-0.11655009568897,-1.02798737107288,0.207541843582855,1.03231302796119,-0.729049584818792,-0.784617920731303,-1.00996905357068,-0.477492250358126
"SC296",0.418420756664037,1.1083934686794,-0.433479639106763,0.903171207216624,-0.866182999762583,0.879852045738642,0.900699091607734,0.332555231836833,-0.532085085677235,0.504434765367069,0.678034606461135,-0.258422660556259,0.0717162918274994,-0.726314326038814,1.91640441555443,0.29756904424494,0.0221312998381847
