names	A_loading	corrs	color
C.21.COX7C	1	-0.337225177681672	Blue
C.21.NDUFA4	1	-0.15049211025867	Blue
C.21.FXYD3	1	-0.145270955412961	Blue
C.21.ELOB	1	-0.293201875285926	Blue
C.21.TOMM7	0.566895190562724	-0.00817018895381393	Blue
C.21.MALAT1	0.49225049101415	0.233366467606159	Red
C.26.ANGPT2	0.484038696110473	0.446174708261951	Red
C.21.KRT7	0.427129783339427	-0.40633699241919	Blue
C.25.EEF1B2	0.409693876882789	0.194947395976705	Red
C.21.PPDPF	0.337648435006231	-0.192261349024341	Blue
C.12.S100A6	0.0259336409856818	-0.514611497590692	Blue
C.25.CALML5	0.0860876959913688	0.449055179307873	Red
C.20.HLAA	0.0393990078898819	0.394295864811982	Red
C.25.AZGP1	0.111020563214286	-0.381840717709379	Blue
C.12.C19ORF33	0.0223176020750725	0.346396757346229	Red
C.21.COX8A	0.103796786166552	-0.3383157221157	Blue
C.21.MIF	0.0329385088286144	-0.30444293888462	Blue
