names	A_loading	corrs	color
C.0.DSG1	1	-0.170916039508061	Blue
C.0.DSC3	1	-0.237498053980136	Blue
C.1.TMSB4X	0.279867193449834	0.145071209141919	Red
C.27.JUNB	0.224753493461852	0.363047435259611	Red
C.28.CD52	0.199802408678499	-0.0330859728239871	Blue
C.18.UBC	0.149308404560428	0.179401388488072	Red
C.18.FAU	0.14899606024047	0.134091278539172	Red
C.10.S100A6	0.146421155509317	0.0664411736279674	Red
C.18.HLAC	0.142069739562422	-0.0266712831074133	Blue
C.6.NR4A1	0.130044998629976	0.193854691853882	Red
C.25.FTL	0.0068981724975174	0.644725462612128	Red
C.12.S100A6	0.0411290212698037	-0.514611497590692	Blue
C.17.IER3	0.0769023737361703	0.475626006908217	Red
C.17.AVPR1A	0.0202316137510334	-0.434594649265162	Blue
C.25.TMSB4X	0.029055685896331	0.406230056043281	Red
C.26.CLU	0.0319498403364186	-0.384783668851538	Blue
C.25.AZGP1	0.00722353960472303	-0.381840717709379	Blue
C.15.SH3BGRL3	0.0569519647012214	-0.366041651005932	Blue
C.26.PCAT19	0.105440801557116	0.350359492135194	Red
