names	A_loading	corrs	color
C.25.UBC	1	0.101872550286053	Red
C.25.GAPDH	1	0.107659309119392	Red
C.25.NFKBIA	1	0.159704070870778	Red
C.25.PTMA	1	0.2922447353859	Red
C.25.S100A11	0.3639476560464	-0.0481147203356111	Blue
C.25.FTL	0.287586905115951	0.644725462612128	Red
C.12.SAT1	0.232270617326281	0.46182641289734	Red
C.25.NEAT1	0.230212978002321	0.0181038568279432	Red
C.25.KRT18	0.172343819868111	-0.0715472140055515	Blue
C.15.TACSTD2	0.152992393563038	0.050138478247031	Red
C.25.CALML5	0.132408755045965	0.449055179307873	Red
C.15.CTNNBIP1	0.0792888714247459	-0.415223787831345	Blue
C.12.S100A2	0.00992736052372525	-0.410983975158926	Blue
C.12.C19ORF33	0.120967409226996	0.346396757346229	Red
C.26.MMRN1	0.0490472982747248	-0.318811987190389	Blue
C.12.KRT5	0.0192542869297362	-0.308544685828268	Blue
C.9.ID1	0.00250719337941514	-0.28508179470912	Blue
