names	A_loading	corrs	color
C.0.XIST	1	-0.00887437570408176	Blue
C.1.XIST	1	0.127947109691702	Red
C.3.XIST	1	0.0152104955577548	Red
C.5.XIST	1	0.162841775971257	Red
C.6.XIST	1	0.140219491246991	Red
C.11.XIST	1	0.127499742175297	Red
C.13.XIST	1	-0.0769472128215829	Blue
C.16.XIST	1	0.050140222728062	Red
C.17.XIST	1	-0.021921008303823	Blue
C.14.XIST	0.672926911749745	0.137660800398855	Red
C.13.HES1	0.277184372530571	-0.381969220777098	Blue
C.13.CRIP1	0.392738979654471	-0.257628694250626	Blue
C.13.EGR1	0.282764169363651	-0.253049164505695	Blue
C.5.SOD2	0.0237635770057472	0.172474129336067	Red
C.13.ATF3	0.218060125510871	-0.130226678463344	Blue
