names	A_loading	corrs	color
C.5.COL1A1	1	-0.000435540730646634	Blue
C.5.COL3A1	1	0.259582275465394	Red
C.5.IFITM1	0.24568843702987	0.279181608344493	Red
C.13.MT1X	0.220004247965026	0.453397900603147	Red
C.11.FABP5	0.0907398398309263	0.279617149075139	Red
C.12.FOS	0.0451663379221683	0.0348432584517308	Red
C.2.KRT14	0.0426472064865625	0.185540351255466	Red
C.1.DDX5	0.0336501567430351	-0.222996854091077	Blue
C.0.SERPINB2	0.0318280291821298	-0.288327963688072	Blue
C.16.IFI27	0.0316594112634711	0.322735681409156	Red
C.0.S100A2	0.017111470381012	0.523955498967901	Red
C.14.IFITM2	0.0204769075382433	0.387096921310585	Red
