names	A_loading	corrs	color
C.0.IFI27	1	0.489547781246817	Red
C.1.IFI27	1	0.461673174485433	Red
C.11.IFI27	1	0.422910049457882	Red
C.16.IFI27	1	0.322735681409156	Red
C.5.IFITM1	0.237423481960088	0.279181608344493	Red
C.13.FLNA	0.199027024993991	-0.2717774159235	Blue
C.13.APOE	0.182849759015104	-0.0939230881449071	Blue
C.0.S100A2	0.157383113050286	0.523955498967901	Red
C.3.APOE	0.154099369528031	0.309233918759111	Red
C.1.MT1X	0.153796665249714	0.513502521432382	Red
C.10.KLF6	0.00349211441049464	0.632405140898913	Red
C.5.IGFBP5	0.100641172457218	-0.597126341716536	Blue
C.16.SAT1	0.0296706547193206	0.541812668924413	Red
C.10.DNAJB1	0.06718259438886	0.425523293841762	Red
C.6.GSN	0.000469571436616875	-0.418119101420769	Blue
