names	A_loading	corrs	color
C.0.IFI27	1	0.489547781246817	Red
C.1.IFI27	1	0.461673174485433	Red
C.11.IFI27	1	0.422910049457882	Red
C.16.IFI27	1	0.322735681409156	Red
C.5.IFITM1	0.323753229678246	0.279181608344493	Red
C.1.MT1X	0.155847486675082	0.513502521432382	Red
C.13.APOE	0.145786307256187	-0.0939230881449071	Blue
C.0.S100A2	0.141463835394392	0.523955498967901	Red
C.5.IGFBP5	0.113000712400595	-0.597126341716536	Blue
C.13.FLNA	0.0835157602637647	-0.2717774159235	Blue
C.3.APOE	0.0551093437154235	0.309233918759111	Red
