names	A_loading	corrs	color
C.0.KRT14	1	0.574042682992264	Red
C.0.KRT5	1	0.669426103003877	Red
C.5.IGFBP5	0.582017804137696	-0.597126341716536	Blue
C.0.S100A2	0.528502670765893	0.523955498967901	Red
C.13.FLNA	0.520620323597409	-0.2717774159235	Blue
C.6.GSN	0.497700845471781	-0.418119101420769	Blue
C.3.APOE	0.192993766346237	0.309233918759111	Red
C.1.MT1X	0.181092984521854	0.513502521432382	Red
C.16.SAT1	0.160104715974984	0.541812668924413	Red
C.15.CD164	0.157985392618566	-0.33511576524438	Blue
C.10.DNAJB1	0.15255830395768	0.425523293841762	Red
