names	A_loading	corrs	color
C.0.XIST	1	-0.00887437570408176	Blue
C.1.XIST	1	0.127947109691702	Red
C.3.XIST	1	0.0152104955577548	Red
C.5.XIST	1	0.162841775971257	Red
C.6.XIST	1	0.140219491246991	Red
C.7.XIST	1	0.03955503805682	Red
C.11.XIST	1	0.127499742175297	Red
C.13.XIST	1	-0.0769472128215829	Blue
C.14.XIST	1	0.137660800398855	Red
C.16.XIST	1	0.050140222728062	Red
C.16.FABP5	0.0206227006084721	-0.36759637666576	Blue
C.7.APOE	0.0299094561171267	-0.289014931113646	Blue
C.10.DUSP1	0.000341387530906282	0.273955119576733	Red
C.12.JUN	0.0789050863020048	-0.260292177969353	Blue
C.13.CRIP1	0.397250583528223	-0.257628694250626	Blue
C.0.KRT17	0.0365686237025498	0.198606573174865	Red
C.5.SOD2	0.128085923901908	0.172474129336067	Red
C.7.HSPB1	0.00249783585634342	0.13980857453757	Red
