names	A_loading	corrs	color
C.3.XIST	1	0.0152104955577548	Red
C.6.XIST	1	0.140219491246991	Red
C.10.HSP90AB1	0.0996926085751493	0.124564648964937	Red
C.17.HSP90AB1	0.0888104340516175	0.171167507144127	Red
C.10.KLF6	0.0816409909001661	0.632405140898913	Red
C.12.HSP90AA1	0.0813985114461096	0.0640244874050553	Red
C.7.IFI27	0.0734842165546734	0.481272507364531	Red
C.1.NEAT1	0.0696715231859245	0.252613623775048	Red
C.12.HSPB1	0.0691051577572282	0.0557492135227692	Red
C.13.FOS	0.0680849031852763	-0.0753485464018678	Blue
C.3.IFI27	0.0431776961334532	0.658973125468358	Red
C.5.IGFBP5	0.0483345783164789	-0.597126341716536	Blue
C.11.IFITM3	0.0255441742317806	0.547039157692173	Red
C.16.SAT1	0.0324356237872182	0.541812668924413	Red
C.0.S100A2	0.0295659995461262	0.523955498967901	Red
C.14.GADD45B	0.0405006683059259	0.50087184024363	Red
C.14.FOS	0.0556742846841196	0.496080892206517	Red
C.0.IFI27	0.0207273798822631	0.489547781246817	Red
