names	A_loading	corrs	color
C.0.KRT14	1	0.574042682992264	Red
C.0.KRT5	1	0.669426103003877	Red
C.8.JUN	0.0269377285964812	-0.0483450211017764	Blue
C.5.APOE	0.0252158177680171	0.3558367769383	Red
C.5.SOD2	0.0192931087918235	0.172474129336067	Red
C.13.XIST	0.0185914471950996	-0.0769472128215829	Blue
C.1.ID3	0.0181739815676478	0.0945123385503197	Red
C.7.IFI27	0.0177335421609716	0.481272507364531	Red
C.16.XIST	0.0177149228667261	0.050140222728062	Red
C.16.TM4SF1	0.0171650906974482	-0.0121951404581058	Blue
C.3.IFI27	0.00907679407766772	0.658973125468358	Red
C.10.KLF6	0.00719928292816309	0.632405140898913	Red
C.5.IGFBP5	0.00124806286877301	-0.597126341716536	Blue
C.11.IFITM3	0.0011169611527577	0.547039157692173	Red
C.16.SAT1	0.00694650747344772	0.541812668924413	Red
C.0.S100A2	0.00225207887518959	0.523955498967901	Red
C.14.GADD45B	0.00252688963639967	0.50087184024363	Red
C.14.FOS	0.0088946030926633	0.496080892206517	Red
